,act,at,ceq,che,csho,dlc,dltis,dltt,emp,ib,invt,ivao,ivst,lct,lt,pstk,rect,sale,sstk,exchg,prcc-f,ret-t,ret-t1,vwretd,oplease,lease-dum,r-vwretd,r-1-vwretd,WC,NCO,FIN,ATA,rsst-acc,ch-rec,ch-inv,cs,ch-cs,earn-ATA,ch-earn,ch-emp,issue,bm,new-comp,fraud
716,87.08,164.315,115.132,14.845999999999998,14.138,0.0,0.0,0.0,0.5429999999999999,-6.4639999999999995,31.811,0.0,6.933,34.607,49.183,0.0,31.863000000000003,234.99099999999999,0.157,11.0,7.38,2.049307969207915,1.759981721368337,-0.014727514120570107,5.779,1.0,1.293826551413299,0.7968336184632989,37.626999999999995,62.659,6.933,175.842,-0.0423505,-0.1019267,-0.0589336,252.91400000000002,0.0038380000000000003,-0.0367603,-0.0706004,0.05442999999999999,1.0,1.103448,150.0,0.0
717,1469.4,2460.9,545.0,146.4,38.19,92.6,211.4,534.3,13.3,105.3,695.4,0.0,0.0,1179.2,1769.3,130.6,614.0,8420.6,5.6,11.0,32.875,1.88e-05,0.19373379999999998,-0.06083480000000001,64.54556,1.0,0.060853599999999994,0.25456860000000003,236.4001,935.6998,-757.5,1351.1429999999998,0.2934291,0.4157856,0.5146752,7858.813,21.26747,0.077934,-0.1606121,-1.787753,1.0,0.43409129999999996,159.0,0.0
718,1814.2,2756.9,425.7,160.5,38.931,89.4,58.3,489.8,14.15,39.6,848.4,0.0,0.0,1492.9,2185.7,128.8,774.3,10312.6,8.5,11.0,32.625,0.12304680000000001,1.88e-05,0.336437,51.31015,1.0,-0.2133902,-0.3364182,250.1999,739.7,-708.0,2608.9,-0.0508643,0.06144349999999999,0.05864540000000001,10152.3,0.2918362,0.015178799999999998,-0.0627552,-0.056371500000000005,1.0,0.3351642,159.0,0.0
719,1898.2,2800.1,492.9,120.1,40.574,88.3,13.6,346.5,14.0,114.7,885.9,0.0,0.0,1614.9,2161.0,126.5,842.2,11669.4,13.0,11.0,44.75,0.21736309999999998,0.12304680000000001,0.09065039999999999,55.992740000000005,1.0,0.12671269999999998,0.0323964,251.4999,702.3002,-561.3,2778.5,0.0398057,0.0244377,0.0134965,11601.5,0.142746,0.04128130000000001,0.026102499999999997,-0.0262705,1.0,0.2714676,159.0,0.0
720,2186.2,3192.7,553.3,96.3,40.605,75.7,217.2,463.3,14.5,157.1,994.1,0.0,0.0,1784.4,2463.0,125.3,1045.9,12428.2,21.7,11.0,59.5,0.3147478,0.21736309999999998,0.1158456,62.34219,1.0,0.19890220000000003,0.1015175,381.1999,791.2,-664.3,2996.4,0.0385796,0.0679816,0.03611,12224.5,0.0537,0.05242959999999999,0.011148299999999998,-0.10449489999999999,1.0,0.22901509999999997,159.0,0.0
721,2699.4,3479.2,1013.5,692.7,44.375,39.5,30.0,458.8,12.2,-193.2,1160.2,0.0,307.3,1738.2,2405.8,0.0,778.6,13170.5,13.5,11.0,40.375,1.039355,0.3147478,-0.0199301,54.8252,1.0,1.059285,0.33467790000000003,307.9999,570.9999,-191.0,3335.95,0.05392759999999999,-0.0801271,0.0497909,13437.8,0.09925149999999999,-0.0579145,-0.1103441,-0.2483567,1.0,0.5656826,159.0,0.0
722,2463.0,3360.2,1064.6,456.2,44.848,34.5,0.6,436.5,11.3,120.7,1317.0,0.0,195.4,1642.5,2295.6,0.0,672.8,9915.9,19.2,11.0,51.25,-1.887588020746173,0.6463893067498069,-0.05356413720785115,44.12316,1.0,0.20868798570973637,1.0718266626462967,398.8,680.5999,-275.6,3419.7,0.0338626,-0.0309384,0.045852,10021.7,-0.2542157,0.0352955,0.09321,-0.0395672,1.0,0.4631797,159.0,0.0
723,3761.1,5172.8,1260.8,229.8,45.785,160.3,1313.3,1019.7,13.3,5.1,2259.5,0.0,105.0,2637.2,3912.0,0.0,1224.5,12872.2,27.4,11.0,64.0,-0.4176783364824762,0.7888671858875174,0.19117502509831732,96.40598,1.0,-2.193055982805111,0.18533999922183528,1054.4,1156.6,-1075.0,4266.5,0.07786239999999998,0.1293097,0.2209071,12320.5,0.2293822,0.0011954,-0.034100099999999994,-0.362441,1.0,0.43027200000000004,159.0,0.0
724,4105.6,5607.5,1406.8,113.6,93.22,10.0,445.8,1389.6,13.7,154.9,2583.5,0.0,77.9,2577.8,4200.7,0.0,1380.4,20844.4,11.3,11.0,57.75,0.6172158923872473,-1.5042541257921287,-0.019188703630265896,123.2861,1.0,0.608401023245805,0.8742596896386567,1424.2,1268.6,-1321.7,5390.15,0.0436166,0.0289231,0.0601096,20688.5,0.6791931999999999,0.0287376,0.027542200000000003,-0.0539606,1.0,0.2613192,159.0,0.0
725,6499.5,9081.6,2881.8,269.0,280.584,212.0,82.7,1141.1,24.6,84.9,3529.0,73.4,28.2,4800.1,6199.8,0.0,2583.7,30344.4,224.9,11.0,66.0,-2.0750730043194645,-0.9977292264527335,0.03441123451447095,232.8777,1.0,-0.9224812910090826,1.7183607254657605,1642.4,2250.1,-1251.5,7344.55,0.1729037,0.1638358,0.12873489999999999,29141.1,0.40856509999999996,0.0115596,-0.017178,0.1760753,1.0,0.155617,159.0,0.0
726,7965.5,10372.9,3565.8,605.9,283.353,16.2,379.4,1439.6,21.1,184.6,4149.3,100.9,57.0,5121.8,6807.1,0.0,3034.5,36712.5,26.2,11.0,21.0,1.2577907719525308,-1.9962710367819703,0.2583082836774554,194.956,1.0,-0.65168814394193,0.0065948749860940264,2254.0,2060.8,-1297.9,9727.25,0.0386441,0.046343999999999996,0.0637693,36261.7,0.24434899999999998,0.018977599999999997,0.007418000000000001,-0.28446509999999997,1.0,0.5992525,159.0,0.0
727,9164.0,11529.9,3492.9,445.6,283.983,194.1,9.3,1231.5,23.0,-42.7,5116.4,131.3,11.9,6549.7,8037.0,0.0,3443.4,42010.0,38.6,11.0,26.75,-0.04082640022361225,0.8457461769480471,0.13977626539172813,234.8452,1.0,1.8316293112680062,0.29541599810635943,2362.8,1978.8010000000002,-1282.4,10951.4,0.0038625,0.037337699999999995,0.0883083,41601.1,0.1472463,-0.003899,-0.0228767,-0.0214933,1.0,0.45980109999999996,159.0,0.0
728,10698.7,13324.0,3940.1,563.0,287.928,141.2,397.3,1484.5,24.0,418.6,6011.5,-27643.9281126447,5.1,7588.0,9383.9,0.0,4001.5,50006.0,88.1,11.0,37.43,0.828020630100968,2.9023820059994105,0.06252621675083539,265.2434,1.0,1.097137439539341,-0.7348371783532406,2688.9,2098.2509488422065,-3722.219921344373,12426.95,-0.07972026263354884,0.0449105,0.07202889999999999,49447.9,0.18861989999999998,0.0336849,0.037583899999999996,-0.1121258,1.0,0.36559780000000003,159.0,1.0
729,11253.6,14353.4,4528.5,533.5,291.2,10.2,17422.668626764942,1487.0,24.5,562.1,6022.5,-24858.489525132325,11.5,7974.4,9824.9,0.0,4594.7,57120.8,78.8,11.0,24.93,-0.9686487194018881,0.3965828856665847,0.15889304247055783,248.5557,1.0,1.912985407595429,0.9953429698820094,2755.9,570.7876960441142,-2866.5636835510327,13838.7,0.3834863751883973,0.0428653,0.0007949,56527.6,0.143175,0.040618,0.0069331,-0.056425800000000005,0.7815625174168308,0.6237933000000001,159.0,0.0
730,13004.2,16240.2,5165.3,717.8,290.3,274.8,4071.9585682629736,1209.8,24.6,646.5,6735.1,-22657.66180900909,9.8,9456.1,11074.9,0.0,5418.8,69506.1,92.6,11.0,30.09,-0.2814439487890929,0.05236999772617315,0.27419469371287997,218.5658,1.0,0.32082029006945345,-0.43924661485603284,3105.1009999999997,-3096.4524129936062,114063.68854073594,15296.8,-0.72984550851221,0.053874,0.0465849,68682.0,0.21501710000000002,0.042263699999999994,0.0016457999999999998,-0.1273715,0.7186929777173294,0.5913251,159.0,0.0
731,15332.3,18775.0,5275.1,1809.3,299.3,8.8,0.0,1201.7,25.2,-156.7,7495.5,-17193.41625405408,9.3,11792.6,13499.9,0.0,5731.5,80514.6,223.3,11.0,37.75,0.30702882463757636,-0.3232660184315509,0.3537308914782517,207.2033,1.0,0.3175166256164351,-1.311505102222132,1739.2,5578.9921080905715,-5121.411383883485,17507.6,-2.194160001780853,0.0178608,0.043432599999999995,80201.9,0.1677281,-0.008950399999999999,-0.0512141,-0.1316915,1.0,0.4668819,159.0,0.0
732,16919.0,20975.0,5907.0,3104.0,304.0,26.0,0.0,965.0,26.4,737.0,7260.0,83.0,962.0,13515.0,15068.0,0.0,6370.0,88050.0,568.0,11.0,52.13,0.503955581760715,-1.0092301775510775,0.10101503050872158,199.6614,1.0,-0.927204890490299,-1.0994354463385791,326.0,3385.0,54.0,19875.0,-0.4217706691061003,0.032125799999999996,-0.0118491,87411.5,0.0898932,0.037081800000000005,0.046032199999999995,-0.0695581,1.0,0.3727397,159.0,0.0
733,17856.0,23943.0,6273.0,2938.0,295.0,155.0,1997.0,1803.0,31.8,968.0,8153.0,0.0,984.0,15126.0,17670.0,0.0,6566.0,92977.0,399.0,11.0,58.54,-0.8413922229590686,-0.054577106709862516,0.2713300903750673,276.1944,1.0,1.5348269551295783,-0.08086753916041856,-53.0,5346.0,-974.0,22459.0,0.0246672,0.008727,0.039761300000000006,92781.0,0.061427800000000005,0.0431008,0.006019,0.06304370000000001,1.0,0.3632458,159.0,0.0
